| Query | off warm | on warm | Δ (on-off) | on/off | off cold | on cold |
|---|---|---|---|---|---|---|
| q30 | 0.775 | 0.827 | +0.052 | 1.07x | 0.782 | 0.846 |
| q31 | 1.345 | 1.285 | -0.060 | 0.96x | 1.401 | 1.374 |
| q32 | 1.408 | 1.405 | -0.003 | 1.00x | 1.894 | 1.957 |
| q33 | 4.999 | 5.520 | +0.521 | 1.10x | 7.094 | 7.128 |
| q34 | 7.263 | 6.535 | -0.728 | 0.90x | 8.614 | 8.276 |
| q35 | 7.344 | 7.729 | +0.385 | 1.05x | 7.930 | 8.630 |
| q36 | 1.584 | 1.689 | +0.105 | 1.07x | 1.649 | 1.845 |
| q37 | 0.160 | 0.156 | -0.004 | 0.98x | 0.220 | 0.179 |
| q38 | 0.099 | 0.098 | -0.000 | 1.00x | 0.108 | 0.109 |
| q39 | 0.069 | 0.073 | +0.004 | 1.05x | 0.070 | 0.071 |
| q40 | 0.234 | 0.229 | -0.005 | 0.98x | 0.230 | 0.216 |
| q41 | 0.040 | 0.044 | +0.004 | 1.10x | 0.075 | 0.046 |
| q42 | 0.046 | 0.037 | -0.009 | 0.80x | 0.038 | 0.038 |
| q43 | 0.173 | 0.173 | -0.001 | 1.00x | 0.199 | 0.179 |

**Total warm (sum best-of-2): off=108.71s  on=106.02s  on/off=0.975x**
(ON faster overall by 2.5%)

